Repository_Name,Owner,Description,URL,Programming_Language,Creation_Date,Last_Updated_Date,Number_of_Stars,Number_of_Forks,Number_of_Open_Issues,License_Type
machine-learning-systems-design,chiphuyen,"A booklet on machine learning systems design with exercises. NOT the repo for the book ""Designing Machine Learning Systems""",https://github.com/chiphuyen/machine-learning-systems-design,HTML,2019-11-24T23:16:28Z,2024-10-15T13:11:19Z,8990,1416,10,No License
metaflow,Netflix,"Open Source Platform for developing, scaling and deploying serious ML, AI, and data science systems",https://github.com/Netflix/metaflow,Python,2019-09-17T17:48:25Z,2024-10-15T15:19:37Z,8109,765,334,Apache License 2.0
deeplake,activeloopai,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai",https://github.com/activeloopai/deeplake,Python,2019-08-09T06:17:59Z,2024-10-13T11:41:13Z,8094,622,60,Mozilla Public License 2.0
BentoML,bentoml,"The easiest way to serve AI apps and models - Build reliable Inference APIs, LLM apps, Multi-model chains, RAG service, and much more!",https://github.com/bentoml/BentoML,Python,2019-04-02T01:39:27Z,2024-10-15T03:44:49Z,7064,784,170,Apache License 2.0
MLOps-Basics,graviraja,,https://github.com/graviraja/MLOps-Basics,Jupyter Notebook,2021-05-02T10:35:35Z,2024-10-15T16:43:24Z,5980,999,13,MIT License
flyte,flyteorg,"Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks.",https://github.com/flyteorg/flyte,Go,2019-10-21T17:40:04Z,2024-10-15T10:34:04Z,5635,624,1051,Apache License 2.0
clearml,allegroai,"ClearML - Auto-Magical CI/CD to streamline your AI workload. Experiment Management, Data Management, Pipeline, Orchestration, Scheduling & Serving in one MLOps/LLMOps solution",https://github.com/allegroai/clearml,Python,2019-06-10T08:18:32Z,2024-10-15T06:22:37Z,5631,653,491,Apache License 2.0
feast,feast-dev,The Open Source Feature Store for Machine Learning,https://github.com/feast-dev/feast,Python,2018-12-10T07:20:15Z,2024-10-15T16:35:42Z,5550,993,178,Apache License 2.0
courses,SkalskiP,This repository is a curated collection of links to various courses and resources about Artificial Intelligence (AI),https://github.com/SkalskiP/courses,Python,2023-04-02T10:34:53Z,2024-10-15T11:02:04Z,5348,482,11,No License
evidently,evidentlyai,"Evidently is ​​an open-source ML and LLM observability framework. Evaluate, test, and monitor any AI-powered system or data pipeline. From tabular data to Gen AI. 100+ metrics.",https://github.com/evidentlyai/evidently,Jupyter Notebook,2020-11-25T15:20:08Z,2024-10-15T16:29:46Z,5237,592,191,Apache License 2.0
QuantumKatas,microsoft,Tutorials and programming exercises for learning Q# and quantum computing,https://github.com/microsoft/QuantumKatas,Jupyter Notebook,2018-06-06T20:02:33Z,2024-10-15T01:44:55Z,4537,1215,22,MIT License
awesome-quantum-computing,desireevl,A curated list of awesome quantum computing learning and developing resources.,https://github.com/desireevl/awesome-quantum-computing,,2018-01-23T10:07:44Z,2024-10-15T12:58:19Z,2532,400,13,Creative Commons Zero v1.0 Universal
pennylane,PennyLaneAI,"PennyLane is a cross-platform Python library for quantum computing, quantum machine learning, and quantum chemistry. Train a quantum computer the same way as a neural network.",https://github.com/PennyLaneAI/pennylane,Python,2018-04-17T16:45:42Z,2024-10-15T15:51:59Z,2314,595,319,Apache License 2.0
QPanda-2,OriginQ,"QPanda 2 is an open source quantum computing framework developed by  OriginQC that can be used to build, run, and optimize quantum algorithms. ",https://github.com/OriginQ/QPanda-2,C++,2018-06-05T08:23:20Z,2024-10-14T22:15:25Z,1151,91,14,Apache License 2.0
ProjectQ,ProjectQ-Framework,ProjectQ: An open source software framework for quantum computing,https://github.com/ProjectQ-Framework/ProjectQ,Python,2016-12-28T09:31:53Z,2024-10-09T18:38:15Z,884,272,38,Apache License 2.0
quantumcomputingbook,JackHidary,Companion site for the textbook Quantum Computing: An Applied Approach,https://github.com/JackHidary/quantumcomputingbook,Jupyter Notebook,2019-02-28T23:35:20Z,2024-10-12T12:52:55Z,796,220,20,No License
covalent,AgnostiqHQ,Pythonic tool for orchestrating machine-learning/high performance/quantum-computing workflows in heterogeneous compute environments.,https://github.com/AgnostiqHQ/covalent,Python,2021-11-03T14:02:07Z,2024-10-14T08:40:40Z,766,91,85,Apache License 2.0
QuantumComputing,corbett,This is an implementation of IBM's Quantum Experience in simulation; a 5-qubit quantum computer with a limited set of gates. Please cite me if you end up using this academically.,https://github.com/corbett/QuantumComputing,Python,2016-05-09T07:14:13Z,2024-10-10T14:07:08Z,587,141,3,GNU General Public License v3.0
qml,PennyLaneAI,"Introductions to key concepts in quantum programming, as well as tutorials and implementations from cutting-edge quantum computing research.",https://github.com/PennyLaneAI/qml,Python,2019-10-09T19:17:54Z,2024-10-15T15:11:32Z,538,185,46,Apache License 2.0
qpp,softwareQinc,Modern C++ quantum computing library,https://github.com/softwareQinc/qpp,C++,2014-03-21T20:00:40Z,2024-10-13T01:19:48Z,535,116,2,MIT License
classiq-library,Classiq,The Classiq Library is the largest collection of quantum algorithms and applications. It is the best way to explore quantum computing software. We welcome community contributions to our Library 🙌,https://github.com/Classiq/classiq-library,Jupyter Notebook,2023-09-07T12:57:29Z,2024-10-15T17:16:38Z,511,329,17,MIT License
amazon-braket-examples,amazon-braket,Example notebooks that show how to apply quantum computing with Amazon Braket.,https://github.com/amazon-braket/amazon-braket-examples,Python,2020-10-05T19:31:03Z,2024-10-14T16:12:10Z,470,226,29,Apache License 2.0
entanglion,Entanglion,The world's first open source quantum computing board game,https://github.com/Entanglion/entanglion,,2018-01-03T19:31:32Z,2024-10-15T03:50:51Z,452,45,2,Other
qcgpu,libtangle,High Performance Tools for Quantum Computing,https://github.com/libtangle/qcgpu,Python,2018-03-05T20:20:41Z,2024-10-02T22:55:22Z,438,50,5,MIT License
Reference-Guide-For-Quantum-Computing-A-Microsoft-Garage-Project,microsoft,"This repository hosts the Reference Guide for Quantum Computing, a Microsoft Garage project",https://github.com/microsoft/Reference-Guide-For-Quantum-Computing-A-Microsoft-Garage-Project,Jupyter Notebook,2020-07-09T13:52:34Z,2024-10-15T15:20:29Z,409,72,1,MIT License
monthly-challenges,qosf,Repository containing monthly challenges in the field of quantum computing.,https://github.com/qosf/monthly-challenges,Jupyter Notebook,2020-10-24T19:31:49Z,2024-10-11T19:04:24Z,401,165,6,Apache License 2.0
q.js,stewdio,Quantum computing in your browser.,https://github.com/stewdio/q.js,JavaScript,2019-05-01T21:11:05Z,2024-09-27T14:16:22Z,335,28,26,Other
pytket-docs,CQCL,User manual and example notebooks for the pytket quantum computing toolkit,https://github.com/CQCL/pytket-docs,Shell,2018-07-11T09:39:17Z,2024-10-15T13:06:33Z,330,90,17,Apache License 2.0
polarization,BoltzmannEntropy,"A group for computer scientists and physicists with aspirations of becoming quantum scientists. Quantum computing, jobs, books and graduate school are amongst the topics covered.",https://github.com/BoltzmannEntropy/polarization,,2021-12-12T17:26:18Z,2024-09-29T23:50:32Z,320,72,0,No License
Quantum-Computing-Collection-Of-Resources,aryashah2k,"A Well Maintained Repository On Quantum Computing Resources [Code+Theory] Updated Regularly During My Time At IBM, Qubit x Qubit And The Coding School's Introduction To Quantum Computing Course '21",https://github.com/aryashah2k/Quantum-Computing-Collection-Of-Resources,Jupyter Notebook,2020-11-11T14:03:13Z,2024-10-14T09:46:45Z,305,79,3,MIT License
qiskit-nature,qiskit-community,"Qiskit Nature is an open-source, quantum computing, framework for solving quantum mechanical natural science problems.",https://github.com/qiskit-community/qiskit-nature,Python,2021-01-27T16:59:03Z,2024-09-21T13:42:44Z,301,204,59,Apache License 2.0
qmcpack,QMCPACK,"Main repository for QMCPACK, an open-source production level many-body ab initio Quantum Monte Carlo code for computing the electronic structure of atoms, molecules, and solids with full performance portable GPU support",https://github.com/QMCPACK/qmcpack,C++,2017-01-11T19:02:29Z,2024-10-14T19:24:23Z,296,138,421,Other
qibo,qiboteam,A framework for quantum computing,https://github.com/qiboteam/qibo,Python,2020-02-18T08:21:10Z,2024-10-15T06:15:55Z,288,60,118,Apache License 2.0
libint,evaleev,Libint: high-performance library for computing Gaussian integrals in quantum mechanics,https://github.com/evaleev/libint,C++,2013-08-13T21:17:06Z,2024-10-03T14:22:04Z,229,95,54,Other
RustQIP,Renmusxd,Quantum computing using rust. Efficient and a borrow-checked no cloning theorem!,https://github.com/Renmusxd/RustQIP,Rust,2019-05-09T04:04:44Z,2024-10-10T18:09:39Z,228,18,30,MIT License
strange,redfx-quantum,Quantum Computing API for Java,https://github.com/redfx-quantum/strange,Java,2018-03-26T16:06:29Z,2024-10-04T13:55:08Z,203,46,7,"BSD 3-Clause ""New"" or ""Revised"" License"
Quantum-NC,microsoft,Microsoft Quantum Computing Libraries for noncommercial use,https://github.com/microsoft/Quantum-NC,F#,2018-01-23T19:10:35Z,2024-08-13T09:45:35Z,197,86,1,Other
pennylane-qiskit,PennyLaneAI,The PennyLane-Qiskit plugin integrates the Qiskit quantum computing framework and IBM Q with PennyLane.,https://github.com/PennyLaneAI/pennylane-qiskit,Python,2018-11-29T21:29:30Z,2024-10-13T07:17:43Z,186,66,25,Apache License 2.0
quantumpy,jtauber,basic quantum computing concepts implemented in Python,https://github.com/jtauber/quantumpy,Python,2013-01-18T04:47:15Z,2024-07-24T04:21:14Z,181,31,0,MIT License
learnquantum,JohnCoogan,Repo of resources to help learn about quantum computing.,https://github.com/JohnCoogan/learnquantum,,2017-08-16T21:43:02Z,2024-09-15T13:09:02Z,176,42,1,No License
system-design-primer,donnemartin,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer,Python,2017-02-26T16:15:28Z,2024-10-15T17:19:01Z,272608,45958,475,Other
awesome-python,vinta,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,Python,2014-06-27T21:00:06Z,2024-10-15T17:02:09Z,221652,24860,421,Other
project-based-learning,practical-tutorials,Curated list of project-based tutorials,https://github.com/practical-tutorials/project-based-learning,,2017-04-12T05:07:46Z,2024-10-15T17:18:56Z,200870,26197,185,MIT License
Python,TheAlgorithms,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python,Python,2016-07-16T09:44:01Z,2024-10-15T17:07:01Z,191481,45253,349,MIT License
tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,C++,2015-11-07T01:19:20Z,2024-10-15T17:09:19Z,186044,74258,5365,Apache License 2.0
CS-Notes,CyC2018,:books: 技术面试必备基础知识、Leetcode、计算机操作系统、计算机网络、系统设计,https://github.com/CyC2018/CS-Notes,,2018-02-13T14:56:24Z,2024-10-15T17:14:33Z,175641,50937,183,No License
ohmyzsh,ohmyzsh,"🙃   A delightful community-driven (with 2,400+ contributors) framework for managing your zsh configuration. Includes 300+ optional plugins (rails, git, macOS, hub, docker, homebrew, node, php, python, etc), 140+ themes to spice up your morning, and an auto-update tool that makes it easy to keep up with the latest updates from the community.",https://github.com/ohmyzsh/ohmyzsh,Shell,2009-08-28T18:15:37Z,2024-10-15T17:16:03Z,173209,25881,435,MIT License
AutoGPT,Significant-Gravitas,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",https://github.com/Significant-Gravitas/AutoGPT,Python,2023-03-16T09:21:07Z,2024-10-15T16:40:36Z,167528,44248,155,Other
Python-100-Days,jackfrued,Python - 100天从新手到大师,https://github.com/jackfrued/Python-100-Days,Python,2018-03-01T16:05:52Z,2024-10-15T15:27:39Z,155680,52156,723,No License
transformers,huggingface,"🤗 Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,Python,2018-10-29T13:56:00Z,2024-10-15T17:00:30Z,133430,26648,1420,Apache License 2.0
free-programming-books-zh_CN,justjavac,:books: 免费的计算机编程类中文书籍，欢迎投稿,https://github.com/justjavac/free-programming-books-zh_CN,,2013-11-04T01:59:19Z,2024-10-15T15:45:48Z,111470,28212,34,GNU General Public License v3.0
hello-algo,krahets,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version ongoing",https://github.com/krahets/hello-algo,Java,2022-11-04T11:08:34Z,2024-10-15T17:18:34Z,96857,12275,16,Other
HelloGitHub,521xueweihan,":octocat: 分享 GitHub 上有趣、入门级的开源项目。Share interesting, entry-level open source projects on GitHub.",https://github.com/521xueweihan/HelloGitHub,Python,2016-05-04T06:24:11Z,2024-10-15T17:02:09Z,91848,9609,152,No License
thefuck,nvbn,Magnificent app which corrects your previous console command.,https://github.com/nvbn/thefuck,Python,2015-04-08T15:08:04Z,2024-10-15T17:03:12Z,85071,3433,354,MIT License
yt-dlp,yt-dlp,A feature-rich command-line audio/video downloader,https://github.com/yt-dlp/yt-dlp,Python,2020-10-26T04:22:55Z,2024-10-15T16:27:03Z,84885,6621,1703,The Unlicense
pytorch,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch,Python,2016-08-13T05:26:41Z,2024-10-15T17:19:25Z,82971,22366,15101,Other
django,django,The Web framework for perfectionists with deadlines.,https://github.com/django/django,Python,2012-04-28T02:47:18Z,2024-10-15T17:17:54Z,79639,31688,263,"BSD 3-Clause ""New"" or ""Revised"" License"
fastapi,fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production",https://github.com/fastapi/fastapi,Python,2018-12-08T08:21:47Z,2024-10-15T17:18:24Z,76565,6466,311,MIT License
core,home-assistant,:house_with_garden: Open source home automation that puts local control and privacy first.,https://github.com/home-assistant/core,Python,2013-09-17T07:29:48Z,2024-10-15T17:20:15Z,72564,30353,2811,Apache License 2.0
ML-For-Beginners,microsoft,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",https://github.com/microsoft/ML-For-Beginners,HTML,2021-03-03T01:34:05Z,2024-10-15T17:10:29Z,69442,14387,6,MIT License
funNLP,fighting41love,"中英文敏感词、语言检测、中外手机/电话归属地/运营商查询、名字推断性别、手机号抽取、身份证抽取、邮箱抽取、中日文人名库、中文缩写库、拆字词典、词汇情感值、停用词、反动词表、暴恐词表、繁简体转换、英文模拟中文发音、汪峰歌词生成器、职业名称词库、同义词库、反义词库、否定词库、汽车品牌词库、汽车零件词库、连续英文切割、各种中文词向量、公司名字大全、古诗词库、IT词库、财经词库、成语词库、地名词库、历史名人词库、诗词词库、医学词库、饮食词库、法律词库、汽车词库、动物词库、中文聊天语料、中文谣言数据、百度中文问答数据集、句子相似度匹配算法集合、bert资源、文本生成&摘要相关工具、cocoNLP信息抽取工具、国内电话号码正则匹配、清华大学XLORE:中英文跨语言百科知识图谱、清华大学人工智能技术系列报告、自然语言生成、NLU太难了系列、自动对联数据及机器人、用户名黑名单列表、罪名法务名词及分类模型、微信公众号语料、cs224n深度学习自然语言处理课程、中文手写汉字识别、中文自然语言处理 语料/数据集、变量命名神器、分词语料库+代码、任务型对话英文数据集、ASR 语音数据集 + 基于深度学习的中文语音识别系统、笑声检测器、Microsoft多语言数字/单位/如日期时间识别包、中华新华字典数据库及api(包括常用歇后语、成语、词语和汉字)、文档图谱自动生成、SpaCy 中文模型、Common Voice语音识别数据集新版、神经网络关系抽取、基于bert的命名实体识别、关键词(Keyphrase)抽取包pke、基于医疗领域知识图谱的问答系统、基于依存句法与语义角色标注的事件三元组抽取、依存句法分析4万句高质量标注数据、cnocr：用来做中文OCR的Python3包、中文人物关系知识图谱项目、中文nlp竞赛项目及代码汇总、中文字符数据、speech-aligner: 从“人声语音”及其“语言文本”产生音素级别时间对齐标注的工具、AmpliGraph: 知识图谱表示学习(Python)库：知识图谱概念链接预测、Scattertext 文本可视化(python)、语言/知识表示工具：BERT & ERNIE、中文对比英文自然语言处理NLP的区别综述、Synonyms中文近义词工具包、HarvestText领域自适应文本挖掘工具（新词发现-情感分析-实体链接等）、word2word：(Python)方便易用的多语言词-词对集：62种语言/3,564个多语言对、语音识别语料生成工具：从具有音频/字幕的在线视频创建自动语音识别(ASR)语料库、构建医疗实体识别的模型（包含词典和语料标注）、单文档非监督的关键词抽取、Kashgari中使用gpt-2语言模型、开源的金融投资数据提取工具、文本自动摘要库TextTeaser: 仅支持英文、人民日报语料处理工具集、一些关于自然语言的基本模型、基于14W歌曲知识库的问答尝试--功能包括歌词接龙and已知歌词找歌曲以及歌曲歌手歌词三角关系的问答、基于Siamese bilstm模型的相似句子判定模型并提供训练数据集和测试数据集、用Transformer编解码模型实现的根据Hacker News文章标题自动生成评论、用BERT进行序列标记和文本分类的模板代码、LitBank：NLP数据集——支持自然语言处理和计算人文学科任务的100部带标记英文小说语料、百度开源的基准信息抽取系统、虚假新闻数据集、Facebook: LAMA语言模型分析，提供Transformer-XL/BERT/ELMo/GPT预训练语言模型的统一访问接口、CommonsenseQA：面向常识的英文QA挑战、中文知识图谱资料、数据及工具、各大公司内部里大牛分享的技术文档 PDF 或者 PPT、自然语言生成SQL语句（英文）、中文NLP数据增强（EDA）工具、英文NLP数据增强工具 、基于医药知识图谱的智能问答系统、京东商品知识图谱、基于mongodb存储的军事领域知识图谱问答项目、基于远监督的中文关系抽取、语音情感分析、中文ULMFiT-情感分析-文本分类-语料及模型、一个拍照做题程序、世界各国大规模人名库、一个利用有趣中文语料库 qingyun 训练出来的中文聊天机器人、中文聊天机器人seqGAN、省市区镇行政区划数据带拼音标注、教育行业新闻语料库包含自动文摘功能、开放了对话机器人-知识图谱-语义理解-自然语言处理工具及数据、中文知识图谱：基于百度百科中文页面-抽取三元组信息-构建中文知识图谱、masr: 中文语音识别-提供预训练模型-高识别率、Python音频数据增广库、中文全词覆盖BERT及两份阅读理解数据、ConvLab：开源多域端到端对话系统平台、中文自然语言处理数据集、基于最新版本rasa搭建的对话系统、基于TensorFlow和BERT的管道式实体及关系抽取、一个小型的证券知识图谱/知识库、复盘所有NLP比赛的TOP方案、OpenCLaP：多领域开源中文预训练语言模型仓库、UER：基于不同语料+编码器+目标任务的中文预训练模型仓库、中文自然语言处理向量合集、基于金融-司法领域(兼有闲聊性质)的聊天机器人、g2pC：基于上下文的汉语读音自动标记模块、Zincbase 知识图谱构建工具包、诗歌质量评价/细粒度情感诗歌语料库、快速转化「中文数字」和「阿拉伯数字」、百度知道问答语料库、基于知识图谱的问答系统、jieba_fast 加速版的jieba、正则表达式教程、中文阅读理解数据集、基于BERT等最新语言模型的抽取式摘要提取、Python利用深度学习进行文本摘要的综合指南、知识图谱深度学习相关资料整理、维基大规模平行文本语料、StanfordNLP 0.2.0：纯Python版自然语言处理包、NeuralNLP-NeuralClassifier：腾讯开源深度学习文本分类工具、端到端的封闭域对话系统、中文命名实体识别：NeuroNER vs. BertNER、新闻事件线索抽取、2019年百度的三元组抽取比赛：“科学空间队”源码、基于依存句法的开放域文本知识三元组抽取和知识库构建、中文的GPT2训练代码、ML-NLP - 机器学习(Machine Learning)NLP面试中常考到的知识点和代码实现、nlp4han:中文自然语言处理工具集(断句/分词/词性标注/组块/句法分析/语义分析/NER/N元语法/HMM/代词消解/情感分析/拼写检查、XLM：Facebook的跨语言预训练语言模型、用基于BERT的微调和特征提取方法来进行知识图谱百度百科人物词条属性抽取、中文自然语言处理相关的开放任务-数据集-当前最佳结果、CoupletAI - 基于CNN+Bi-LSTM+Attention 的自动对对联系统、抽象知识图谱、MiningZhiDaoQACorpus - 580万百度知道问答数据挖掘项目、brat rapid annotation tool: 序列标注工具、大规模中文知识图谱数据：1.4亿实体、数据增强在机器翻译及其他nlp任务中的应用及效果、allennlp阅读理解:支持多种数据和模型、PDF表格数据提取工具 、 Graphbrain：AI开源软件库和科研工具，目的是促进自动意义提取和文本理解以及知识的探索和推断、简历自动筛选系统、基于命名实体识别的简历自动摘要、中文语言理解测评基准，包括代表性的数据集&基准模型&语料库&排行榜、树洞 OCR 文字识别 、从包含表格的扫描图片中识别表格和文字、语声迁移、Python口语自然语言处理工具集(英文)、 similarity：相似度计算工具包，java编写、海量中文预训练ALBERT模型 、Transformers 2.0 、基于大规模音频数据集Audioset的音频增强 、Poplar：网页版自然语言标注工具、图片文字去除，可用于漫画翻译 、186种语言的数字叫法库、Amazon发布基于知识的人-人开放领域对话数据集 、中文文本纠错模块代码、繁简体转换 、 Python实现的多种文本可读性评价指标、类似于人名/地名/组织机构名的命名体识别数据集 、东南大学《知识图谱》研究生课程(资料)、. 英文拼写检查库 、 wwsearch是企业微信后台自研的全文检索引擎、CHAMELEON：深度学习新闻推荐系统元架构 、 8篇论文梳理BERT相关模型进展与反思、DocSearch：免费文档搜索引擎、 LIDA：轻量交互式对话标注工具 、aili - the fastest in-memory index in the East 东半球最快并发索引 、知识图谱车音工作项目、自然语言生成资源大全 、中日韩分词库mecab的Python接口库、中文文本摘要/关键词提取、汉字字符特征提取器 (featurizer)，提取汉字的特征（发音特征、字形特征）用做深度学习的特征、中文生成任务基准测评 、中文缩写数据集、中文任务基准测评 - 代表性的数据集-基准(预训练)模型-语料库-baseline-工具包-排行榜、PySS3：面向可解释AI的SS3文本分类器机器可视化工具 、中文NLP数据集列表、COPE - 格律诗编辑程序、doccano：基于网页的开源协同多语言文本标注工具 、PreNLP：自然语言预处理库、简单的简历解析器，用来从简历中提取关键信息、用于中文闲聊的GPT2模型：GPT2-chitchat、基于检索聊天机器人多轮响应选择相关资源列表(Leaderboards、Datasets、Papers)、(Colab)抽象文本摘要实现集锦(教程 、词语拼音数据、高效模糊搜索工具、NLP数据增广资源集、微软对话机器人框架 、 GitHub Typo Corpus：大规模GitHub多语言拼写错误/语法错误数据集、TextCluster：短文本聚类预处理模块 Short text cluster、面向语音识别的中文文本规范化、BLINK：最先进的实体链接库、BertPunc：基于BERT的最先进标点修复模型、Tokenizer：快速、可定制的文本词条化库、中文语言理解测评基准，包括代表性的数据集、基准(预训练)模型、语料库、排行榜、spaCy 医学文本挖掘与信息提取 、 NLP任务示例项目代码集、 python拼写检查库、chatbot-list - 行业内关于智能客服、聊天机器人的应用和架构、算法分享和介绍、语音质量评价指标(MOSNet, BSSEval, STOI, PESQ, SRMR)、 用138GB语料训练的法文RoBERTa预训练语言模型 、BERT-NER-Pytorch：三种不同模式的BERT中文NER实验、无道词典 - 有道词典的命令行版本，支持英汉互查和在线查询、2019年NLP亮点回顾、 Chinese medical dialogue data 中文医疗对话数据集 、最好的汉字数字(中文数字)-阿拉伯数字转换工具、 基于百科知识库的中文词语多词义/义项获取与特定句子词语语义消歧、awesome-nlp-sentiment-analysis - 情感分析、情绪原因识别、评价对象和评价词抽取、LineFlow：面向所有深度学习框架的NLP数据高效加载器、中文医学NLP公开资源整理 、MedQuAD：(英文)医学问答数据集、将自然语言数字串解析转换为整数和浮点数、Transfer Learning in Natural Language Processing (NLP) 、面向语音识别的中文/英文发音辞典、Tokenizers：注重性能与多功能性的最先进分词器、CLUENER 细粒度命名实体识别 Fine Grained Named Entity Recognition、 基于BERT的中文命名实体识别、中文谣言数据库、NLP数据集/基准任务大列表、nlp相关的一些论文及代码, 包括主题模型、词向量(Word Embedding)、命名实体识别(NER)、文本分类(Text Classificatin)、文本生成(Text Generation)、文本相似性(Text Similarity)计算等，涉及到各种与nlp相关的算法，基于keras和tensorflow 、Python文本挖掘/NLP实战示例、 Blackstone：面向非结构化法律文本的spaCy pipeline和NLP模型通过同义词替换实现文本“变脸” 、中文 预训练 ELECTREA 模型: 基于对抗学习 pretrain Chinese Model 、albert-chinese-ner - 用预训练语言模型ALBERT做中文NER 、基于GPT2的特定主题文本生成/文本增广、开源预训练语言模型合集、多语言句向量包、编码、标记和实现：一种可控高效的文本生成方法、 英文脏话大列表 、attnvis：GPT2、BERT等transformer语言模型注意力交互可视化、CoVoST：Facebook发布的多语种语音-文本翻译语料库，包括11种语言(法语、德语、荷兰语、俄语、西班牙语、意大利语、土耳其语、波斯语、瑞典语、蒙古语和中文)的语音、文字转录及英文译文、Jiagu自然语言处理工具 - 以BiLSTM等模型为基础，提供知识图谱关系抽取 中文分词 词性标注 命名实体识别 情感分析 新词发现 关键词 文本摘要 文本聚类等功能、用unet实现对文档表格的自动检测，表格重建、NLP事件提取文献资源列表 、 金融领域自然语言处理研究资源大列表、CLUEDatasetSearch - 中英文NLP数据集：搜索所有中文NLP数据集，附常用英文NLP数据集 、medical_NER - 中文医学知识图谱命名实体识别 、(哈佛)讲因果推理的免费书、知识图谱相关学习资料/数据集/工具资源大列表、Forte：灵活强大的自然语言处理pipeline工具集 、Python字符串相似性算法库、PyLaia：面向手写文档分析的深度学习工具包、TextFooler：针对文本分类/推理的对抗文本生成模块、Haystack：灵活、强大的可扩展问答(QA)框架、中文关键短语抽取工具",https://github.com/fighting41love/funNLP,Python,2018-08-21T11:20:39Z,2024-10-15T17:07:02Z,68340,14459,28,No License
flask,pallets,The Python micro framework for building web applications.,https://github.com/pallets/flask,Python,2010-04-06T11:11:59Z,2024-10-15T17:18:54Z,67842,16200,13,"BSD 3-Clause ""New"" or ""Revised"" License"
manim,3b1b,Animation engine for explanatory math videos,https://github.com/3b1b/manim,Python,2015-03-22T18:50:58Z,2024-10-15T17:21:21Z,67538,6045,421,MIT License
devops-exercises,bregman-arie,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",https://github.com/bregman-arie/devops-exercises,Python,2019-10-03T17:31:21Z,2024-10-15T15:53:15Z,66274,14796,37,Other
gpt_academic,binary-husky,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。",https://github.com/binary-husky/gpt_academic,Python,2023-03-20T09:05:13Z,2024-10-15T16:56:29Z,64817,8009,360,GNU General Public License v3.0
cpython,python,The Python programming language,https://github.com/python/cpython,Python,2017-02-10T19:23:51Z,2024-10-15T16:17:24Z,62995,30162,8753,Other
d2l-zh,d2l-ai,《动手学深度学习》：面向中文读者、能运行、可讨论。中英文版被70多个国家的500多所大学用于教学。,https://github.com/d2l-ai/d2l-zh,Python,2017-08-23T04:40:24Z,2024-10-15T17:20:46Z,62636,10953,86,Apache License 2.0
ansible,ansible,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",https://github.com/ansible/ansible,Python,2012-03-06T14:58:02Z,2024-10-15T16:54:53Z,62626,23866,851,GNU General Public License v3.0
superset,apache,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset,TypeScript,2015-07-21T18:55:34Z,2024-10-15T16:50:17Z,62263,13663,1001,Apache License 2.0
keras,keras-team,Deep Learning for humans,https://github.com/keras-team/keras,Python,2015-03-28T00:35:42Z,2024-10-15T16:53:12Z,61868,19442,254,Apache License 2.0
